ENSEMBL	SYMBOL	KO01	KO02	KO03	WT01	WT02	WT03
ENSG00000000003.14	TSPAN6	3	1	4	0	0	0
ENSG00000000005.5	TNMD	0	0	0	0	0	0
ENSG00000000419.12	DPM1	3197	2318	1356	2630	2735	2721
ENSG00000000457.13	SCYL3	762	649	446	612	606	633
ENSG00000000460.16	C1orf112	1902	1544	948	1420	1647	1628
ENSG00000000938.12	FGR	1096	1033	762	1188	1267	1496
ENSG00000000971.15	CFH	1	1	2	0	1	2
ENSG00000001036.13	FUCA2	658	511	429	511	565	601
ENSG00000001084.10	GCLC	3893	3106	1968	2870	3063	2911
ENSG00000001167.14	NFYA	3165	2600	1923	2532	2727	2865
ENSG00000001460.17	STPG1	677	601	552	447	505	590
ENSG00000001461.16	NIPAL3	4604	3716	2794	2862	3473	3268
ENSG00000001497.16	LAS1L	5623	4879	3448	4095	4432	5249
ENSG00000001561.6	ENPP4	1881	1294	759	1335	1464	1139
ENSG00000001617.11	SEMA3F	55	53	48	38	70	55
ENSG00000001626.14	CFTR	1	0	0	0	0	0
ENSG00000001629.9	ANKIB1	3346	2615	1935	2580	2807	2558
ENSG00000001630.15	CYP51A1	545	522	373	651	760	676
ENSG00000001631.14	KRIT1	2714	2274	1691	2083	2321	2268
ENSG00000002016.16	RAD52	774	661	467	643	641	633
ENSG00000002330.13	BAD	990	929	743	793	956	1130
ENSG00000002549.12	LAP3	4098	3161	2133	3065	3350	3567
ENSG00000002586.18	CD99	0	0	0	0	0	0
ENSG00000002587.9	HS3ST1	1	0	0	1	0	3
ENSG00000002726.19	AOC1	8	5	7	3	4	7
ENSG00000002745.12	WNT16	5	3	1	7	6	14
ENSG00000002746.14	HECW1	0	1	0	2	0	0
ENSG00000002822.15	MAD1L1	2191	1773	1582	1429	1541	1942
ENSG00000002834.17	LASP1	12283	10371	9088	8758	9330	11045
ENSG00000002919.14	SNX11	2059	1775	1189	1797	1964	1887
ENSG00000002933.7	TMEM176A	1	1	0	0	2	0
ENSG00000003056.7	M6PR	6451	5118	3585	4980	5509	5780
ENSG00000003096.13	KLHL13	3	5	7	1	2	2
ENSG00000003137.8	CYP26B1	0	0	0	0	1	1
ENSG00000003147.17	ICA1	70	68	52	53	72	46
ENSG00000003249.13	DBNDD1	52	34	29	37	27	43
ENSG00000003393.14	ALS2	1462	1116	847	1152	1323	1289
ENSG00000003400.14	CASP10	165	137	111	148	159	166
ENSG00000003402.19	CFLAR	6136	5235	3882	4563	5196	4570
ENSG00000003436.14	TFPI	0	1	1	0	0	2
ENSG00000003509.15	NDUFAF7	1010	791	553	851	938	895
ENSG00000003756.16	RBM5	3830	3334	2308	3155	3298	3597
ENSG00000003987.13	MTMR7	56	62	22	45	60	38
ENSG00000003989.16	SLC7A2	1	1	1	0	0	0
ENSG00000004059.10	ARF5	3336	3209	3118	2432	2822	3822
ENSG00000004139.13	SARM1	436	456	327	555	622	694
ENSG00000004142.11	POLDIP2	11611	9889	7906	7947	8846	10450
ENSG00000004399.12	PLXND1	31	22	24	33	38	38
ENSG00000004455.16	AK2	8652	8137	6893	7064	7824	9126
ENSG00000004468.12	CD38	11762	9958	7553	7379	8429	7360
ENSG00000004478.7	FKBP4	10393	9076	7797	8751	9639	12033
ENSG00000004487.15	KDM1A	9450	7612	5569	8013	8823	9238
ENSG00000004534.14	RBM6	6426	5565	4042	5512	5962	6434
ENSG00000004660.14	CAMKK1	41	41	22	62	60	70
ENSG00000004700.15	RECQL	3806	2971	1974	3078	3252	2976
ENSG00000004766.15	VPS50	1618	1256	872	1174	1292	1227
ENSG00000004776.11	HSPB6	7	6	8	6	3	9
ENSG00000004777.18	ARHGAP33	769	766	688	587	582	726
ENSG00000004779.9	NDUFAB1	3670	2832	1759	2871	3038	3517
ENSG00000004799.7	PDK4	0	0	0	0	0	0
ENSG00000004809.13	SLC22A16	0	0	0	0	0	0
ENSG00000004838.13	ZMYND10	40	38	34	40	33	47
ENSG00000004846.16	ABCB5	0	0	1	0	0	0
ENSG00000004848.6	ARX	33	41	36	36	37	51
ENSG00000004864.13	SLC25A13	2952	2482	1637	2993	3266	3229
ENSG00000004866.18	ST7	2454	2109	1842	1775	2012	2143
ENSG00000004897.11	CDC27	7933	6171	4483	6798	7422	7092
ENSG00000004939.13	SLC4A1	1	0	1	0	0	5
ENSG00000004948.13	CALCR	0	0	0	0	1	0
ENSG00000004961.14	HCCS	2072	1743	1228	1368	1582	1765
ENSG00000004975.11	DVL2	4577	4104	3233	3588	4024	4540
ENSG00000005001.9	PRSS22	0	1	2	0	0	0
ENSG00000005007.12	UPF1	15388	13667	10953	10142	11338	12623
ENSG00000005020.12	SKAP2	4392	3358	2490	3378	3773	3255
ENSG00000005022.5	SLC25A5	15374	12156	7909	13923	15490	16057
ENSG00000005059.15	CCDC109B	5482	4151	2851	4800	5215	5567
ENSG00000005073.5	HOXA11	2	2	1	1	7	1
ENSG00000005075.15	POLR2J	1999	1747	1609	1332	1516	2004
ENSG00000005100.12	DHX33	4954	4211	2968	4316	4671	4881
ENSG00000005102.12	MEOX1	0	0	0	0	0	0
ENSG00000005108.15	THSD7A	52	28	31	29	41	33
ENSG00000005156.11	LIG3	1934	1605	1354	1413	1622	1695
ENSG00000005175.9	RPAP3	6948	5513	3870	6304	6946	6644
ENSG00000005187.11	ACSM3	59	43	43	53	59	50
ENSG00000005189.19	AC004381.6	1026	910	633	722	831	955
ENSG00000005194.14	CIAPIN1	3934	3567	3086	2954	3284	4019
ENSG00000005206.16	SPPL2B	1923	1785	1195	1540	1397	1668
ENSG00000005238.19	FAM214B	239	230	200	232	266	303
ENSG00000005243.9	COPZ2	35	39	31	41	39	41
ENSG00000005249.12	PRKAR2B	10847	8735	5065	5936	6708	5701
ENSG00000005302.17	MSL3	4799	4437	3501	3500	3835	4319
ENSG00000005339.13	CREBBP	11998	10665	11269	8220	9203	10189
ENSG00000005379.15	BZRAP1	302	358	219	262	228	274
ENSG00000005381.7	MPO	1	1	0	1	0	0
ENSG00000005421.8	PON1	0	0	0	0	0	0
ENSG00000005436.13	GCFC2	1646	1335	844	1269	1440	1277
ENSG00000005448.16	WDR54	1294	1051	774	867	959	1125
ENSG00000005469.11	CROT	349	246	157	366	354	344
ENSG00000005471.15	ABCB4	56	56	35	55	49	47
ENSG00000005483.19	KMT2E	7303	6809	6588	5817	6554	6991
ENSG00000005486.16	RHBDD2	2624	2619	2315	1531	1912	2427
ENSG00000005513.9	SOX8	24	19	33	30	45	53
ENSG00000005700.14	IBTK	4089	3058	1850	3380	3693	3179
ENSG00000005801.16	ZNF195	1409	1208	827	1254	1466	1288
ENSG00000005810.17	MYCBP2	11652	8854	7373	8666	10178	8476
ENSG00000005812.10	FBXL3	4237	3377	1866	3496	3738	3571
ENSG00000005844.17	ITGAL	14057	12269	10440	9110	10332	11258
ENSG00000005882.11	PDK2	1027	983	900	627	739	967
ENSG00000005884.17	ITGA3	937	815	703	733	860	891
ENSG00000005889.15	ZFX	3001	2303	1737	2537	2778	2402
ENSG00000005893.15	LAMP2	5889	4511	2853	5638	6041	5029
ENSG00000005961.17	ITGA2B	9	3	10	13	7	13
ENSG00000005981.12	ASB4	1	1	0	0	0	0
ENSG00000006007.11	GDE1	3799	2993	2223	3085	3366	3700
ENSG00000006015.17	C19orf60	1760	1571	1226	1313	1372	1787
ENSG00000006016.10	CRLF1	44	28	21	26	33	26
ENSG00000006025.11	OSBPL7	1022	961	755	893	915	1083
ENSG00000006042.11	TMEM98	73	39	20	48	44	54
ENSG00000006047.12	YBX2	14	20	22	27	37	46
ENSG00000006059.3	KRT33A	0	0	0	0	0	0
ENSG00000006062.13	MAP3K14	2464	2272	1930	1645	1841	2285
ENSG00000006071.11	ABCC8	4	2	0	0	0	1
ENSG00000006116.3	CACNG3	0	1	0	0	0	0
ENSG00000006118.14	TMEM132A	391	350	284	373	376	461
ENSG00000006125.16	AP2B1	10574	8946	7537	7830	8750	9591
ENSG00000006128.11	TAC1	0	0	0	1	0	0
ENSG00000006194.9	ZNF263	3044	2726	1902	2305	2533	2855
ENSG00000006210.6	CX3CL1	1	0	3	0	0	0
ENSG00000006282.20	SPATA20	308	291	183	408	444	440
ENSG00000006283.17	CACNA1G	9	7	1	2	4	3
ENSG00000006327.13	TNFRSF12A	66	63	38	61	63	51
ENSG00000006377.10	DLX6	0	1	0	0	1	0
ENSG00000006432.15	MAP3K9	1754	1451	1223	1487	1850	1773
ENSG00000006451.7	RALA	4082	3104	1947	3440	3756	3907
ENSG00000006453.13	BAIAP2L1	680	605	497	535	649	625
ENSG00000006459.10	KDM7A	727	510	307	543	616	476
ENSG00000006468.13	ETV1	21	3	16	17	33	34
ENSG00000006530.15	AGK	2650	2059	1412	1955	2236	2182
ENSG00000006534.15	ALDH3B1	33	28	25	24	33	27
ENSG00000006555.10	TTC22	49	30	30	27	38	59
ENSG00000006576.16	PHTF2	7358	6119	3793	6484	7236	5871
ENSG00000006606.8	CCL26	0	0	0	0	0	0
ENSG00000006607.13	FARP2	2860	2342	1943	2750	3071	2881
ENSG00000006611.15	USH1C	0	0	0	0	0	0
ENSG00000006625.17	GGCT	1412	1119	731	1087	1216	1193
ENSG00000006634.7	DBF4	4378	3522	2462	3485	3728	3775
ENSG00000006638.11	TBXA2R	0	2	3	2	0	1
ENSG00000006652.13	IFRD1	2353	1766	1157	1950	2037	2063
ENSG00000006659.12	LGALS14	3	6	7	5	12	14
ENSG00000006695.10	COX10	1736	1489	1339	1234	1405	1601
ENSG00000006704.10	GTF2IRD1	2538	2178	1865	2405	2759	3129
ENSG00000006712.14	PAF1	5873	5375	4628	3916	4231	5483
ENSG00000006715.15	VPS41	2885	2315	1519	2306	2483	2427
ENSG00000006740.16	ARHGAP44	619	510	461	653	683	738
ENSG00000006744.18	ELAC2	13278	11825	9720	9242	10172	12812
ENSG00000006747.14	SCIN	5	4	2	4	1	2
ENSG00000006756.15	ARSD	1	0	0	0	1	0
ENSG00000006757.11	PNPLA4	547	470	393	397	457	592
ENSG00000006788.12	MYH13	0	0	0	1	1	1
ENSG00000006831.9	ADIPOR2	8712	7193	5222	7318	8193	7945
ENSG00000006837.11	CDKL3	56	45	29	40	46	51
ENSG00000007001.12	UPP2	0	0	0	0	0	0
ENSG00000007038.10	PRSS21	0	0	0	0	0	0
ENSG00000007047.14	MARK4	2580	2392	2274	2096	2323	2839
ENSG00000007062.11	PROM1	1	5	0	3	3	1
ENSG00000007080.10	CCDC124	5181	4718	4623	3603	3980	5766
ENSG00000007129.17	CEACAM21	203	175	179	111	153	167
ENSG00000007168.12	PAFAH1B1	10143	7759	5454	7795	8413	8318
ENSG00000007171.16	NOS2	2	0	5	0	0	2
ENSG00000007174.17	DNAH9	1	1	0	1	0	0
ENSG00000007202.14	KIAA0100	18991	15940	13575	13413	15595	15489
ENSG00000007216.14	SLC13A2	0	0	0	0	0	0
ENSG00000007237.18	GAS7	2098	1804	1507	2350	2485	2635
ENSG00000007255.10	TRAPPC6A	645	568	439	517	616	663
ENSG00000007264.13	MATK	0	1	0	0	0	0
ENSG00000007306.14	CEACAM7	0	0	0	0	0	0
ENSG00000007312.12	CD79B	24200	20157	17303	13968	14888	19226
ENSG00000007314.11	SCN4A	80	88	68	40	48	54
ENSG00000007341.18	ST7L	415	315	235	317	340	333
ENSG00000007350.16	TKTL1	138	91	94	80	90	74
ENSG00000007372.20	PAX6	261	261	150	228	212	217
ENSG00000007376.7	RPUSD1	4247	4197	3822	3253	3666	5094
ENSG00000007384.15	RHBDF1	33	41	37	29	28	22
ENSG00000007392.16	LUC7L	2107	1785	1199	1688	1781	2023
ENSG00000007402.11	CACNA2D2	14	22	11	13	18	16
ENSG00000007516.13	BAIAP3	43	63	44	51	47	50
ENSG00000007520.3	TSR3	2175	1858	1426	1547	1750	2514
ENSG00000007541.15	PIGQ	1567	1419	1083	1301	1397	1742
ENSG00000007545.15	CRAMP1	1396	1127	843	1149	1189	1143
ENSG00000007866.18	TEAD3	53	54	26	30	51	69
ENSG00000007908.15	SELE	2	1	1	0	3	0
ENSG00000007923.15	DNAJC11	4512	4100	3055	3252	3561	4028
ENSG00000007933.12	FMO3	13	11	10	1	6	4
ENSG00000007944.14	MYLIP	436	362	247	623	733	656
ENSG00000007952.17	NOX1	39	25	19	23	23	22
ENSG00000007968.6	E2F2	12161	10636	8692	7529	8251	9122
ENSG00000008018.8	PSMB1	6809	5314	3470	5262	5669	6519
ENSG00000008056.12	SYN1	2	4	1	1	1	2
ENSG00000008083.13	JARID2	1764	1704	1403	1481	1764	1755
ENSG00000008086.10	CDKL5	851	726	606	593	652	580
ENSG00000008118.9	CAMK1G	0	1	0	0	0	0
ENSG00000008128.22	CDK11A	79	74	60	73	73	87
ENSG00000008130.15	NADK	8985	7614	5865	6867	7591	8406
ENSG00000008196.12	TFAP2B	0	0	0	0	0	0
ENSG00000008197.4	TFAP2D	0	0	0	0	0	0
ENSG00000008226.19	DLEC1	13	7	6	7	17	16
ENSG00000008256.15	CYTH3	499	413	310	405	551	551
ENSG00000008277.14	ADAM22	434	374	230	396	463	361
ENSG00000008282.8	SYPL1	14455	10464	5015	12518	13708	12379
ENSG00000008283.15	CYB561	146	109	106	172	205	190
ENSG00000008294.20	SPAG9	9217	7121	4866	9019	9881	8518
ENSG00000008300.14	CELSR3	1070	993	795	1322	1406	1516
ENSG00000008311.14	AASS	166	127	103	163	222	162
ENSG00000008323.15	PLEKHG6	3	2	1	3	2	0
ENSG00000008324.10	SS18L2	1269	1040	644	1112	1131	1166
ENSG00000008382.15	MPND	733	647	549	471	499	639
ENSG00000008394.12	MGST1	5380	4913	4126	4207	5224	5333
ENSG00000008405.11	CRY1	0	0	0	0	0	0
ENSG00000008438.4	PGLYRP1	5	5	2	8	8	2
ENSG00000008441.16	NFIX	84	69	95	64	116	125
ENSG00000008513.14	ST3GAL1	447	430	338	416	490	444
ENSG00000008516.16	MMP25	19	16	11	13	11	19
ENSG00000008517.16	IL32	2	3	5	4	1	2
ENSG00000008710.17	PKD1	1793	1798	1372	1779	2180	2043
ENSG00000008735.13	MAPK8IP2	82	68	50	88	125	106
ENSG00000008838.17	MED24	7671	6842	5439	5541	6041	7469
ENSG00000008853.16	RHOBTB2	3481	3484	2976	3110	3522	3779
ENSG00000008869.11	HEATR5B	4027	3175	2137	3065	3524	3041
ENSG00000008952.16	SEC62	33556	26212	17379	24331	27330	25097
ENSG00000008988.9	RPS20	25006	21945	16086	19393	21917	28707
ENSG00000009307.15	CSDE1	48629	36718	24928	34631	38009	35469
ENSG00000009335.17	UBE3C	8672	6742	5258	5295	5645	5630
ENSG00000009413.15	REV3L	3418	2614	1988	2934	3202	2660
ENSG00000009694.13	TENM1	12	9	7	5	6	9
ENSG00000009709.11	PAX7	0	1	0	0	0	0
